"brand","model","image_status","product_page","source_image","workbook_advantage"
"Brooks","Cascadia 19","verified-image","https://www.decathlon.de/p/mp/damen-lauf-schuhe-brooks-cascadia-19/a29026b7-e260-4bfb-90cd-f8585c37eb6e/c1","https://contents.mediadecathlon.com/m23977284/k$230de2fa889092e346cb98b1de4c33f0/picture.jpg?format=auto&f=3000x0","Bewährter Klassiker, DNA LOFT v2, Steinschutz"
"Brooks","Ghost Trail","verified-image","https://www.decathlon.de/p/mp/laufschuhe-herren-ghost-trail-schwarz-rot-orange/dd19c822-df3e-45ae-bfa6-659e7fddcceb/c1c14c20","https://contents.mediadecathlon.com/m34061370/k$8934b12440853f4ce04afe912b581092/picture.jpg?format=auto&f=1920x0","Straße-zu-Trail, Ghost-Komfort auf Trails"
"Saucony","Peregrine 16","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-saucony-peregrine-16-grun-gelb-orange/381823/c9c22c20m9003027","https://contents.mediadecathlon.com/p3077689/k%24bea6e1f867e86739caed851e41d22990/picture.jpg?f=3000x0&format=auto","PWRRUN+, aggressiver Grip, leicht"
"New Balance","Hierro v9","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-new-balance-fresh-foam-x-hierro-v9-grau-gelb/365842/m9029852","https://contents.mediadecathlon.com/p3181173/k$45f74efbbed9d690f18c4bbaaec6e754/picture.jpg?format=auto&f=1920x0","Fresh Foam X Doppelschicht, Vibram Megagrip, Langstrecken-Workhorse"
"New Balance","Garoe v2","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-new-balance-fresh-foam-x-garoe-v2-braun/377744/m9003163","https://contents.mediadecathlon.com/p3077910/k$a2579feb81cf6f71634fe470c2c466b6/picture.jpg?format=auto&f=1920x0","Fresh Foam X, Budget-Alternative zur Hierro, AT Tread Sohle"
"New Balance","Rebel Trail","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-new-balance-rebel-trail-grun/381806/m9003166","https://contents.mediadecathlon.com/p3077977/k$7d3b57e2c7b4a3bb58ccbd56833c440b/picture.jpg?format=auto&f=1920x0","FuelCell auf Trail, Vibram Megagrip, leicht & reaktiv, neu 2026"
"Kiprun","Kipstorm Challenger Gravel","official-image-pending","","","Carbonplatte, Trail-Race, Haftung — AW 2026"
"Kiprun","Kipstorm Pro Gravel","official-image-pending","","","Carbonplatte, leichter Trail-Race"
"Kiprun","Kipsummit Race","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-carbon-platte-kipsummit-race-beige/361989/c269m8987899?modal=newsletter","https://contents.mediadecathlon.com/p3024578/k%242d897edbb0b028af93c5cdbc0eb9d9e0/patike-kupsummit-race-zenske.jpg","Vibram, Carbonplatte, leicht — SS 2026"
"Kiprun","Kipclimb Race","official-image-pending","","","MATRYX, FastTech & ShiftTech+, ultraleicht"
"Adidas","Adizero Agravic Speed 2","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-adidas-terrex-agravic-speed-2-orange/382059/c20m9004460","https://contents.mediadecathlon.com/p3077778/k$bac708fadd44e0a752fa688e4796136e/picture.jpg?format=auto&f=1920x0","Leichteste Trail-Race-Shoe, Lightstrike Pro"
"Salomon","Speedcross Peak","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-salomon-speedcross-schwarz/_/R-p-358390","https://contents.mediadecathlon.com/p2701437/k$c897fdfdc586834de1163ae0bc994f19/picture.jpg?format=auto&f=1920x0","Maximaler Grip, aggressive Stollen, nasses Terrain"
"Salomon","Speedcross Peak GTX","verified-image","https://www.decathlon.de/p/mp/laufschuh-shoes-speedcross-peak-gtx-w-troope/de9d64c0-fe62-4abc-a541-4c7db225a97e/c255","https://contents.mediadecathlon.com/m25229982/k$536f7aeaf4d608c7203e7f618c31faae/picture.jpg?format=auto&f=3000x0","Speedcross Peak + Gore-Tex Wasserdichtigkeit"
"Kiprun","Kipsonic Start","verified-image","https://www.decathlon.de/p/laufschuhe-leichtathletik-spikes-herren-damen-kinder-kipsonic-start-lila/338249/c368c385m8937371","https://contents.mediadecathlon.com/p3054052/k%24f5f053cd49ac8d45368d07374c9a98c0/picture.jpg?f=3000x0&format=auto","Einsteiger-Spikes — SS 2026"
"Kiprun","Kipsonic X-Country","official-image-pending","","","Cross-country Spikes — SS 2026"
"Kiprun","Kipsonic Mid","official-image-pending","","","Bahn, mittlere Distanzen — SS 2026"
"Kiprun","Kipsonic Long","verified-image","https://www.decathlon.de/p/laufschuhe-leichtathletik-spikes-langdistanz-kipsonic-long-rosa/370953/c140c382c227m8958153","https://contents.mediadecathlon.com/p3061174/k%243f6502a7c95b60372f31c743f67f42ff/long-distance-athletics-spikes-kiprun-kipsonic-long-pink.jpg","Bahn, lange Distanzen — SS 2026"
"Brooks","Revel 9","verified-image","https://www.decathlon.de/p/laufschuhe-herren-brooks-revel-9-weiss-orange/386930/c4c20m9030421","https://contents.mediadecathlon.com/p3171550/k$94a9c24513db26c28b17c51fed60066b/picture.jpg?format=auto&f=1920x0","Daily trainer, versatile"
"New Balance","Propel v5","verified-image","https://www.decathlon.de/p/mp/sneakers-fur-herren-new-balance-propel-grau/89872900-ff95-4128-8742-e02f1c5f051f/c251","https://contents.mediadecathlon.com/m26479894/k$ba7da04f4f5564c8837cd5469f3b1f03/picture.jpg?format=auto&f=3000x0","FuelCell, dynamisch und reaktiv"
"Puma","Velocity Nitro 5","verified-image","https://www.decathlon.de/p/mp/velocity-nitro-5-laufschuhe-herren-puma/8da6f381-767c-408d-95e8-b6ed8f47df14/c4","https://contents.mediadecathlon.com/m36061438/k$ec2b9d38f289cc1b80926d5dff6a1b2e/picture.jpg?format=auto&f=3000x0","NITROFOAM, vielseitiger Daily Trainer"

