"brand","model","primary_category","secondary_category","surface","stability","drop","technologies","best_for_en","best_for_de","best_for_fr","display_image"
"HOKA","Speedgoat 7","TRAIL","MAX CUSHION","Trail","Neutral","4 mm","SuperCritical Foam | Vibram Megagrip | Traction Lug","All levels · technical trails · long distances through ultra","Alle Levels · technische Trails · lange Distanzen bis Ultra","Tous niveaux · trails techniques · longues distances jusqu'à l'ultra","assets/shoes/hoka--speedgoat-7.webp"
"ASICS","Gel Kanaku 6","TRAIL","Technical Trail","Trail","Neutral","–","AMPLIFOAM | Rearfoot GEL | Reinforced mesh","Beginner & recreational runners · easy to mixed trails · up to 40 km","Anfänger & Freizeitläufer · einfache bis gemischte Trails · bis 40 km","Débutants et loisir · trails faciles à variés · jusqu'à 40 km","assets/shoes/asics--gel-kanaku-6.webp"
"ASICS","Gel Sonoma 8 GTX","TRAIL","Technical Trail","Trail","Neutral","8 mm","GORE-TEX | AMPLIFOAM+ | Rearfoot GEL","Beginner & recreational runners · wet easy to moderate trails · daily trail training","Anfänger & Freizeitläufer · nasse einfache bis mittlere Trails · tägliches Trailtraining","Débutants et loisir · trails humides faciles à modérés · entraînement quotidien","assets/shoes/asics--gel-sonoma-8-gtx.webp"
"ASICS","Trabuco 14","TRAIL","Technical Trail","Trail","Neutral","8 mm","FF BLAST MAX | ASICSGRIP | Rock protection plate","All levels · technical trails · long varied distances","Alle Levels · technische Trails · lange wechselnde Distanzen","Tous niveaux · trails techniques · longues distances variées","assets/shoes/asics--trabuco-14.webp"
"ASICS","Trabuco Terra 3","TRAIL","Technical Trail","Trail","Neutral","8 mm","FF BLAST | ASICSGRIP | Engineered mesh","All levels · easy to moderate trails · daily trail training","Alle Levels · einfache bis mittelschwere Trails · tägliches Trailtraining","Tous niveaux · trails faciles à modérés · entraînement trail quotidien","assets/shoes/asics--trabuco-terra-3.webp"
"ADIDAS","Terrex Agravic 4","TRAIL","Technical Trail","Trail","Neutral","8 mm","LIGHTSTRIKE | Continental™ rubber | TPU overlays","All levels · everyday trail training · long varied trails","Alle Levels · tägliches Trailtraining · lange wechselnde Trails","Tous niveaux · entraînement trail quotidien · longues sorties variées","assets/shoes/adidas--terrex-agravic-4.webp"
"ADIDAS","Adizero Agravic Speed 2","TRAIL RACE","Technical Trail","Trail","Neutral","8 mm","LIGHTSTRIKE PRO | LIGHTSTRIKE rim | Continental™ rubber","Competitive & elite · short trail races · high pace","Wettkampf & Elite · kurze Trailrennen · hohes Tempo","Compétition et élite · trails courts · allure rapide","assets/shoes/adidas--adizero-agravic-speed-2.webp"
"SALOMON","Supraglide","TRAIL","Technical Trail","Trail","Neutral","4 mm","Fuze Foam | All Terrain Contagrip | SensiFit","Beginner to recreational · easy to mixed trails · short to middle distances","Einsteiger bis Hobby · leichte bis gemischte Trails · kurze bis mittlere Distanzen","Débutant à loisir · trails faciles à variés · distances courtes à moyennes","assets/shoes/salomon--supraglide.webp"
"SALOMON","Ultra Flow 2","TRAIL","Technical Trail","Road · firm paths","Neutral","8 mm","OptiFoam² | Gravel Contagrip | SensiFit","Recreational to competitive · road, gravel and easy trails · daily running","Hobby bis Wettkampf · Straße, Gravel und leichte Trails · tägliche Läufe","Loisir à compétition · route, gravel et trails faciles · sorties quotidiennes","assets/shoes/salomon--ultra-flow-2.webp"
"SALOMON","Aero Blaze 3 Grvl","TRAIL","FAST TRAINING","Road · firm paths","Neutral","8 mm","OptiFoam² | Gravel Contagrip | SensiFit","Recreational to competitive · faster road and gravel runs · short through long distances","Hobby bis Wettkampf · schnelle Straßen- und Gravel-Läufe · kurze bis lange Distanzen","Loisir à compétition · sorties rapides route et gravel · distances courtes à longues","assets/shoes/salomon--aero-blaze-3-grvl.webp"
"SALOMON","Ultra Glide 4","TRAIL","Technical Trail","Trail","Neutral","6 mm","OptiFoam | relieveSPHERE | All Terrain Contagrip","All levels · long trail runs and ultra distances · mixed terrain","Alle Levels · lange Trail-Läufe und Ultra-Distanzen · gemischtes Gelände","Tous niveaux · sorties trail longues et ultra-distance · terrains variés","assets/shoes/salomon--ultra-glide-4.webp"
"SALOMON","Speedcross Peak","TRAIL RACE","Technical Trail","Trail","Neutral","10 mm","All Terrain Contagrip | SensiFit | Quicklace","Competitive to elite · technical, wet and soft trails · up to 40 km","Wettkampf bis Elite · technische, nasse und weiche Trails · bis 40 km","Compétition à élite · trails techniques, humides et meubles · jusqu’à 40 km","assets/shoes/salomon--speedcross-peak.webp"
"SALOMON","Speedcross Peak GTX","TRAIL RACE","Technical Trail","Trail","Neutral","10 mm","GORE-TEX | All Terrain Contagrip | SensiFit","Competitive to elite · wet technical trails · waterproof protection","Wettkampf bis Elite · nasse technische Trails · wasserdichter Schutz","Compétition à élite · trails techniques humides · protection imperméable","assets/shoes/salomon--speedcross-peak-gtx.webp"
"SALOMON","Genesis","TRAIL","Technical Trail","Trail","Neutral","8 mm","Active Chassis | Matryx | Energy Foam","Recreational to competitive · technical long trails · mixed terrain","Hobby bis Wettkampf · technische lange Trails · gemischtes Gelände","Loisir à compétition · longs trails techniques · terrains variés","assets/shoes/salomon--genesis.webp"
"BROOKS","Cascadia 19","TRAIL","Technical Trail","Trail","Neutral","6 mm","DNA LOFT v3 | Trail Adapt System | Flexible rock plate","All levels · varied technical trails · hiking","Alle Levels · abwechslungsreiche technische Trails · Wandern","Tous niveaux · trails techniques variés · randonnée","assets/shoes/brooks--cascadia-19.webp"
"BROOKS","Range","TRAIL","Technical Trail","Trail","Neutral","6 mm","DNA LOFT v3 | Trail Adapt System | 4.5 mm lugs","All levels · varied technical trails · mountain exploration and hiking","Alle Levels · wechselnde technische Trails · Bergabenteuer und Wandern","Tous niveaux · trails techniques variés · montagne et randonnée","assets/shoes/brooks--range.webp"
"BROOKS","Ghost Trail","TRAIL","Technical Trail","Trail","Neutral","8 mm","DNA LOFT v3 | TrailTack Green | 3 mm lugs","All levels · park paths, gravel and groomed light trails","Alle Levels · Parkwege, Schotter und gepflegte leichte Trails","Tous niveaux · parcs, gravier et sentiers faciles entretenus","assets/shoes/brooks--ghost-trail.webp"
"SAUCONY","Peregrine 16","TRAIL","Technical Trail","Trail","Neutral","4 mm","PWRRUN | PWRRUN+ sockliner | Vibram Megagrip","All levels · technical trails · short through long off-road runs","Alle Levels · technische Trails · kurze bis lange Geländeläufe","Tous niveaux · trails techniques · sorties courtes à longues","assets/shoes/saucony--peregrine-16.webp"
"NEW BALANCE","Hierro v9","TRAIL","MAX CUSHION","Trail","Neutral","4 mm","Dual-density Fresh Foam X | Vibram Megagrip | Toe Protect","All levels · technical and long trails · through ultra distance","Alle Levels · technische und lange Trails · bis Ultra-Distanz","Tous niveaux · trails techniques et longs · jusqu'à l'ultra","assets/shoes/new-balance--hierro-v9.webp"
"NEW BALANCE","Garoe v2","TRAIL","Technical Trail","Trail","Neutral","8 mm","Fresh Foam X | AT Tread | HydroHesion","Beginner to intermediate · varied trails · through 80 km","Einsteiger bis Fortgeschrittene · vielseitige Trails · bis 80 km","Débutant à intermédiaire · trails variés · jusqu'à 80 km","assets/shoes/new-balance--garoe-v2.webp"
"NEW BALANCE","Rebel Trail","TRAIL","Technical Trail","Trail","Neutral","6 mm","FuelCell | Vibram Megagrip | Toe Protect","Advanced · fast technical trails · through ultra distance","Fortgeschrittene · schnelle technische Trails · bis Ultra-Distanz","Confirmé · trails techniques rapides · jusqu'à l'ultra","assets/shoes/new-balance--rebel-trail.webp"
"KIPRUN","Kipsonic Start","TRACK / SPIKES","ENTRY LEVEL","Road","Neutral","–","TPU forefoot plate | Five 6 mm spikes | EVA cushioning","Beginner track athletes · track and cross-country · training and first races","Leichtathletik-Einstieg · Laufbahn und Crosslauf · Training und erste Wettkämpfe","Débutant en athlétisme · piste et cross · entraînement et premières compétitions","assets/shoes/kiprun--kipsonic-start.webp"
"KIPRUN","Kipsonic X-Country","TRACK / SPIKES","Spikes","Trail","Neutral","–","","Cross-country runners · Track & cross-country","Crosslauf · Bahn & Crosslauf","Coureurs de cross-country · Piste et cross-country","assets/shoes/kiprun--kipsonic-x-country.webp"
"KIPRUN","Kipsonic Mid","TRACK / SPIKES","Spikes","Trail","Neutral","–","","Track athletes · Track & cross-country · 800m–3000m","Leichtathletik · Bahn & Crosslauf · 800m–3000m","Athlètes sur piste · Piste et cross-country · 800m–3000m","assets/shoes/kiprun--kipsonic-mid.webp"
"KIPRUN","Kipsonic Long","TRACK / SPIKES","Carbon","Road","Neutral","–","FASTECH+ | Carbon plate | Five aluminium spikes","Competitive & elite · long-distance track · training and racing","Wettkampf & Elite · Langstrecke auf der Bahn · Training und Rennen","Compétition et élite · longue distance sur piste · entraînement et course","assets/shoes/kiprun--kipsonic-long.webp"
"PUMA","Velocity Nitro 5","DAILY TRAINER","FAST TRAINING","Road","Neutral","8 mm","NITROFOAM | PUMAGRIP | Engineered mesh","All levels · daily road running · short through long distances","Alle Levels · tägliche Straßenläufe · kurze bis lange Distanzen","Tous niveaux · course quotidienne sur route · distances courtes à longues","assets/shoes/puma--velocity-nitro-5.webp"
